CustomerID,Monetary,Frequency,Recency,Cluster
11000,8248.99,3,271 days,1
11001,6383.879999999999,3,50 days,1
11002,8114.04,3,340 days,1
11003,8139.29,3,264 days,1
11004,8196.009999999998,3,273 days,1
11005,8121.33,3,272 days,1
11006,8119.03,3,260 days,1
11007,8211.0,3,316 days,1
11008,8106.3099999999995,3,333 days,1
11009,8091.33,3,265 days,1
11010,8088.039999999999,3,251 days,1
11011,8133.04,3,316 days,1
11012,81.26,2,106 days,0
11013,113.96000000000001,2,8 days,0
11014,138.45000000000002,2,274 days,0
11015,2500.97,1,376 days,0
11016,2332.2799999999997,1,354 days,0
11017,6434.3099999999995,3,107 days,1
11018,6533.28,3,97 days,1
11019,882.7,17,17 days,0
11020,2316.97,1,396 days,0
11021,2371.9599999999996,1,371 days,0
11022,2322.2799999999997,1,374 days,0
11023,122.24000000000001,2,15 days,0
11024,56.510000000000005,2,187 days,0
11025,6576.799999999999,3,96 days,1
11026,6575.79,3,106 days,1
11027,6591.57,3,97 days,1
11028,6474.62,3,114 days,1
11029,6565.29,3,79 days,1
11030,6471.32,3,81 days,1
11031,6478.599999999999,3,77 days,1
11032,6525.5599999999995,3,82 days,1
11033,6495.29,3,85 days,1
11034,6491.32,3,80 days,1
11035,6451.3099999999995,3,75 days,1
11036,2354.9799999999996,1,372 days,0
11037,2374.2299999999996,1,374 days,0
11038,6437.33,3,78 days,1
11039,6636.58,3,79 days,1
11040,2350.9599999999996,1,301 days,0
11041,2380.47,1,380 days,0
11042,3112.33,2,104 days,1
11043,47.980000000000004,2,164 days,0
11044,6515.299999999999,3,82 days,1
11045,114.96000000000001,2,92 days,0
11046,6616.8099999999995,3,78 days,1
11047,6582.33,3,71 days,1
11048,6498.24,3,35 days,1
11049,81.26,2,92 days,0
11050,5007.3,3,71 days,1
11051,123.95,2,28 days,0
11052,8131.32,3,247 days,1
11053,2329.9799999999996,1,377 days,0
11054,8223.02,3,244 days,1
11055,8168.009999999999,3,236 days,1
11056,8207.5,3,243 days,1
11057,8088.039999999999,3,253 days,1
11058,8248.02,3,239 days,1
11059,116.93,3,319 days,0
11060,8153.0199999999995,3,218 days,1
11061,8129.0199999999995,3,229 days,1
11062,2351.9599999999996,1,387 days,0
11063,2372.95,1,382 days,0
11064,2304.9799999999996,1,369 days,0
11065,202.57,2,19 days,0
11066,81.26,2,132 days,0
11067,105.75,2,17 days,0
11068,113.36,3,113 days,0
11069,8104.049999999999,3,239 days,1
11070,8165.549999999999,3,217 days,1
11071,110.23,3,59 days,0
11072,8194.0,3,228 days,1
11073,191.9,3,161 days,0
11074,94.19,3,247 days,0
11075,8068.03,3,219 days,1
11076,8159.039999999999,3,222 days,1
11077,8169.03,3,231 days,1
11078,913.27,17,1 days,0
11079,57.95,3,28 days,0
11080,8204.019999999999,3,220 days,1
11081,104.26,2,291 days,0
11082,3110.81,2,84 days,1
11083,3137.3199999999997,2,82 days,1
11084,3078.6099999999997,2,69 days,1
11085,128.96,2,21 days,0
11086,153.45000000000002,2,39 days,0
11087,200.28,2,173 days,0
11088,3176.7799999999997,2,78 days,1
11089,3188.2799999999997,2,72 days,1
11090,6704.08,3,69 days,1
11091,1189.33,28,21 days,0
11092,8110.0199999999995,3,222 days,1
11093,8180.0,3,235 days,1
11094,235.89000000000001,3,18 days,0
11095,8158.01,3,218 days,1
11096,8063.04,3,183 days,1
11097,8099.029999999999,3,189 days,1
11098,88.96,3,105 days,0
11099,8215.99,3,212 days,1
11100,8172.509999999999,3,175 days,1
11101,8262.52,3,214 days,1
11102,102.91,3,51 days,0
11103,8182.5,3,237 days,1
11104,8173.03,3,228 days,1
11105,8095.99,3,238 days,1
11106,8079.049999999999,3,228 days,1
11107,8171.009999999999,3,222 days,1
11108,8124.04,3,220 days,1
11109,8245.01,3,219 days,1
11110,8093.03,3,162 days,1
11111,8136.999999999999,3,160 days,1
11112,8295.02,3,149 days,1
11113,109.88000000000001,3,283 days,0
11114,122.89,3,34 days,0
11115,113.71000000000001,3,27 days,0
11116,148.70000000000002,3,105 days,0
11117,8184.99,3,218 days,1
11118,123.80000000000001,3,3 days,0
11119,85.22,2,67 days,0
11120,8242.49,3,132 days,1
11121,58.16,3,86 days,0
11122,42.92999999999999,3,160 days,0
11123,149.84,3,4 days,0
11124,8129.0199999999995,3,225 days,1
11125,79.69,3,210 days,0
11126,4972.37,3,87 days,1
11127,43.980000000000004,2,120 days,0
11128,143.94,2,170 days,0
11129,5873.26,2,385 days,1
11130,37.29,1,51 days,0
11131,165.91,5,6 days,0
11132,2371.9399999999996,1,295 days,0
11133,71.96000000000001,1,30 days,0
11134,4911.83,3,87 days,1
11135,2334.9699999999993,1,286 days,0
11136,2380.47,1,391 days,0
11137,202.57,2,9 days,0
11138,78.97,2,29 days,0
11139,83.97,2,104 days,0
11140,39.99,1,316 days,0
11141,113.96000000000001,2,123 days,0
11142,980.77,17,16 days,0
11143,48.56,2,41 days,0
11144,2399.97,1,369 days,0
11145,2309.97,1,369 days,0
11146,112.92999999999999,3,136 days,0
11147,8195.5,3,105 days,1
11148,126.24000000000001,3,57 days,0
11149,41.26,3,61 days,0
11150,192.42,3,198 days,0
11151,8087.3099999999995,3,101 days,1
11152,2294.99,1,385 days,0
11153,109.77,2,306 days,0
11154,2319.99,1,384 days,0
11155,2319.99,1,388 days,0
11156,2389.9699999999993,1,386 days,0
11157,41.28,2,140 days,0
11158,2395.9599999999996,1,375 days,0
11159,48.56,2,83 days,0
11160,2322.2799999999997,1,342 days,0
11161,93.95,2,79 days,0
11162,2329.9799999999996,1,345 days,0
11163,46.27,2,177 days,0
11164,144.76,2,177 days,0
11165,102.49000000000001,2,238 days,0
11166,87.96000000000001,2,54 days,0
11167,3126.33,2,62 days,1
11168,3136.5899999999997,2,74 days,1
11169,81.26,2,127 days,0
11170,157.23,2,31 days,0
11171,6716.55,3,83 days,1
11172,128.94,2,18 days,0
11173,102.49000000000001,2,36 days,0
11174,48.56,2,188 days,0
11175,6710.55,3,87 days,1
11176,1320.01,28,2 days,0
11177,135.25,2,107 days,0
11178,144.76,2,248 days,0
11179,125.44,2,20 days,0
11180,138.45000000000002,2,126 days,0
11181,41.28,2,202 days,0
11182,81.26,2,24 days,0
11183,46.27,2,230 days,0
11184,68.25,2,112 days,0
11185,1616.31,27,3 days,0
11186,41.28,2,22 days,0
11187,107.48,2,176 days,0
11188,81.26,2,8 days,0
11189,5944.219999999999,2,358 days,1
11190,46.27,2,13 days,0
11191,6743.58,3,84 days,1
11192,113.96000000000001,2,126 days,0
11193,41.28,2,164 days,0
11194,105.75,2,52 days,0
11195,105.75,2,99 days,0
11196,162.28,2,127 days,0
11197,207.56,2,193 days,0
11198,98.47,2,350 days,0
11199,131.75,2,104 days,0
11200,1463.38,27,9 days,0
11201,180.94,2,142 days,0
11202,73.98,2,130 days,0
11203,801.77,17,49 days,0
11204,77.27000000000001,2,80 days,0
11205,37.29,2,113 days,0
11206,77.27000000000001,2,244 days,0
11207,77.27000000000001,2,103 days,0
11208,134.23,2,134 days,0
11209,37.29,2,7 days,0
11210,70.75999999999999,2,145 days,0
11211,793.55,17,22 days,0
11212,827.1899999999999,17,12 days,0
11213,77.27000000000001,2,142 days,0
11214,162.28,2,71 days,0
11215,1155.52,17,45 days,0
11216,5948.24,2,358 days,1
11217,5953.25,2,349 days,1
11218,39.58,2,25 days,0
11219,39.58,2,5 days,0
11220,50.230000000000004,2,47 days,0
11221,46.269999999999996,2,104 days,0
11222,207.96,2,62 days,0
11223,1205.38,27,23 days,0
11224,6685.59,3,57 days,1
11225,73.25,2,145 days,0
11226,37.29,2,304 days,0
11227,5910.219999999999,2,353 days,1
11228,77.27000000000001,2,12 days,0
11229,81.26,2,4 days,0
11230,54.22,2,51 days,0
11231,64.26,2,78 days,0
11232,39.58,2,77 days,0
11233,179.43,2,235 days,0
11234,76.27000000000001,2,132 days,0
11235,138.45000000000002,2,24 days,0
11236,113.96000000000001,2,23 days,0
11237,10566.38,4,65 days,1
11238,7542.7699999999995,4,274 days,1
11239,7511.549999999999,4,246 days,1
11240,7586.23,4,261 days,1
11241,11469.1882,7,92 days,1
11242,11068.0082,7,56 days,1
11243,7164.25,4,234 days,1
11244,7175.75,4,194 days,1
11245,10580.35,4,49 days,1
11246,10575.33,4,40 days,1
11247,7131.509999999999,4,165 days,1
11248,38.47,1,199 days,0
11249,9890.27,4,136 days,1
11250,7116.249999999999,4,176 days,1
11251,2318.9599999999996,1,103 days,0
11252,6685.5599999999995,3,42 days,1
11253,696.61,16,57 days,0
11254,203.92000000000002,2,46 days,0
11255,113.96000000000001,2,304 days,0
11256,81.26,2,105 days,0
11257,6677.38,3,46 days,1
11258,49.230000000000004,2,198 days,0
11259,6770.599999999999,3,40 days,1
11260,81.26,2,220 days,0
11261,6650.599999999999,3,37 days,1
11262,1126.82,27,7 days,0
11263,6754.0599999999995,3,50 days,1
11264,3182.2699999999995,2,60 days,1
11265,2351.9599999999996,1,391 days,0
11266,5922.23,2,374 days,1
11267,5943.23,2,387 days,1
11268,98.25,2,74 days,0
11269,42.28,2,141 days,0
11270,5984.219999999999,2,387 days,1
11271,5973.24,2,372 days,1
11272,5975.23,2,381 days,1
11273,273.23,2,251 days,0
11274,5888.24,2,339 days,1
11275,5955.23,2,382 days,1
11276,988.3199999999999,27,7 days,0
11277,1434.99,27,13 days,0
11278,5908.25,2,391 days,1
11279,44.57,2,221 days,0
11280,77.27,2,174 days,0
11281,5921.19,2,383 days,1
11282,5998.73,2,392 days,1
11283,44.57,2,154 days,0
11284,55.480000000000004,2,272 days,0
11285,127.76,2,95 days,0
11286,5954.219999999999,2,374 days,1
11287,1167.07,27,1 days,0
11288,77.27000000000001,2,161 days,0
11289,5905.48,2,378 days,1
11290,5933.25,2,367 days,1
11291,5873.26,2,375 days,1
11292,5910.219999999999,2,394 days,1
11293,85.22,2,320 days,0
11294,42.28,2,26 days,0
11295,6058.25,2,385 days,1
11296,5897.53,2,365 days,1
11297,5948.24,2,343 days,1
11298,5922.23,2,342 days,1
11299,6015.24,2,339 days,1
11300,1500.52,27,29 days,0
11301,131.26,2,110 days,0
11302,5938.19,2,361 days,1
11303,5875.549999999999,2,340 days,1
11304,122.21,2,282 days,0
11305,77.27000000000001,2,178 days,0
11306,42.28,2,144 days,0
11307,5964.219999999999,2,355 days,1
11308,94.26,2,14 days,0
11309,42.28,2,24 days,0
11310,77.27000000000001,2,36 days,0
11311,77.27000000000001,2,138 days,0
11312,42.28,2,241 days,0
11313,44.57,2,64 days,0
11314,47.53,2,57 days,0
