CustomerID,Monetary,Frequency,Recency,Cluster
20778,74.46000000000001,1,33 days,0
20779,14.98,1,347 days,0
20780,9.99,1,194 days,0
20781,15.23,1,132 days,0
20782,1197.41,1,141 days,0
20783,39.980000000000004,1,67 days,0
20784,9.99,1,6 days,0
20785,1145.48,1,146 days,0
20786,14.98,1,104 days,0
20787,1134.47,1,133 days,0
20788,9.99,1,16 days,0
20789,39.47,1,292 days,0
20790,14.98,1,193 days,0
20791,9.99,1,242 days,0
20792,39.980000000000004,1,122 days,0
20793,1205.47,1,158 days,0
20794,53.980000000000004,1,89 days,0
20795,3.99,1,204 days,0
20796,88.97,1,229 days,0
20797,14.23,1,234 days,0
20798,123.96000000000001,1,204 days,0
20799,32.28,1,26 days,0
20800,63.97,1,76 days,0
20801,74.98,1,223 days,0
20802,6.28,1,233 days,0
20803,38.980000000000004,1,138 days,0
20804,24.99,1,190 days,0
20805,29.99,1,131 days,0
20806,27.279999999999998,1,206 days,0
20807,3249.3099999999995,2,32 days,0
20808,1938.47,2,217 days,0
20809,32.28,1,155 days,0
20810,6.28,1,152 days,0
20811,3270.3199999999997,2,242 days,0
20812,4127.25,2,335 days,0
20813,64.47,1,16 days,0
20814,4186.23,2,321 days,0
20815,4118.26,2,329 days,0
20816,4228.72,2,319 days,0
20817,4118.26,2,320 days,0
20818,4230.73,2,320 days,0
20819,4181.76,2,322 days,0
20820,4143.74,2,322 days,0
20821,4118.26,2,306 days,0
20822,4134.53,2,326 days,0
20823,4216.75,2,303 days,0
20824,2512.96,2,396 days,0
20825,3226.34,2,203 days,0
20826,1173.96,1,182 days,0
20827,11.940000000000001,1,185 days,0
20828,1938.47,2,217 days,0
20829,1962.46,2,231 days,0
20830,1966.46,2,218 days,0
20831,2012.95,2,225 days,0
20832,2533.9700000000003,2,370 days,0
20833,1903.48,2,241 days,0
20834,2566.95,2,381 days,0
20835,2002.44,2,164 days,0
20836,1938.47,2,163 days,0
20837,2547.95,2,368 days,0
20838,2541.94,2,349 days,0
20839,2511.26,2,355 days,0
20840,3.99,1,158 days,0
20841,1938.47,2,174 days,0
20842,1952.45,2,145 days,0
20843,1903.48,2,140 days,0
20844,1155.48,1,166 days,0
20845,1957.47,2,142 days,0
20846,1174.48,1,155 days,0
20847,1947.46,2,135 days,0
20848,2558.46,2,338 days,0
20849,69.97,1,118 days,0
20850,2556.94,2,320 days,0
20851,2518.97,2,287 days,0
20852,2546.96,2,288 days,0
20853,1147.77,1,164 days,0
20854,1938.47,2,135 days,0
20855,1155.48,1,178 days,0
20856,2483.98,2,287 days,0
20857,1120.49,1,140 days,0
20858,1155.48,1,152 days,0
20859,2508.97,2,257 days,0
20860,2379.81,3,231 days,0
20861,2368.06,3,228 days,0
20862,3240.3199999999997,2,192 days,0
20863,3261.3299999999995,2,159 days,0
20864,3234.29,2,137 days,0
20865,34.98,1,181 days,0
20866,3157.9699999999993,2,45 days,0
20867,38.980000000000004,1,120 days,0
20868,37.27,1,300 days,0
20869,2542.96,2,251 days,0
20870,1938.47,2,135 days,0
20871,78.96000000000001,1,304 days,0
20872,2518.97,2,252 days,0
20873,42.93,1,269 days,0
20874,1962.46,2,122 days,0
20875,2518.97,2,253 days,0
20876,1938.47,2,100 days,0
20877,1120.49,1,133 days,0
20878,1155.48,1,102 days,0
20879,3284.2999999999997,2,129 days,0
20880,2518.97,2,259 days,0
20881,78.96,1,117 days,0
20882,1170.48,1,78 days,0
20883,1149.47,1,74 days,0
20884,1229.96,1,82 days,0
20885,2518.97,2,253 days,0
20886,2533.9700000000003,2,269 days,0
20887,1164.47,1,80 days,0
20888,1174.48,1,76 days,0
20889,69.97,1,175 days,0
20890,2527.96,2,222 days,0
20891,589.98,1,241 days,0
20892,3240.3199999999997,2,114 days,0
20893,34.98,1,48 days,0
20894,1155.48,1,66 days,0
20895,1120.49,1,59 days,0
20896,1957.47,2,110 days,0
20897,88.97,1,101 days,0
20898,51.97,1,101 days,0
20899,6.28,1,10 days,0
20900,78.96000000000001,1,125 days,0
20901,1120.49,1,51 days,0
20902,37.269999999999996,1,14 days,0
20903,69.97,1,247 days,0
20904,69.97,1,29 days,0
20905,1155.48,1,41 days,0
20906,32.28,1,54 days,0
20907,32.28,1,169 days,0
20908,78.96,1,241 days,0
20909,69.97,1,294 days,0
20910,613.95,1,126 days,0
20911,611.96,1,78 days,0
20912,2373.79,3,113 days,0
20913,1947.46,2,96 days,0
20914,1926.45,2,108 days,0
20915,38.980000000000004,1,40 days,0
20916,119.96000000000001,1,226 days,0
20917,3234.2899999999995,2,98 days,0
20918,67.49,1,128 days,0
20919,6.28,1,21 days,0
20920,6.28,1,16 days,0
20921,3234.2899999999995,2,93 days,0
20922,3226.34,2,82 days,0
20923,2374.8,3,116 days,0
20924,69.97,1,215 days,0
20925,67.49,1,145 days,0
20926,1120.49,1,43 days,0
20927,101.94,1,80 days,0
20928,40.23,1,93 days,0
20929,37.269999999999996,1,328 days,0
20930,2363.79,3,66 days,0
20931,3273.17,2,52 days,0
20932,47.97,1,78 days,0
20933,2518.97,2,232 days,0
20934,1145.48,1,46 days,0
20935,162.99,1,79 days,0
20936,1134.47,1,34 days,0
20937,119.96000000000001,1,147 days,0
20938,84.97,1,21 days,0
20939,13.98,1,73 days,0
20940,38.980000000000004,1,351 days,0
20941,126.28,1,342 days,0
20942,3.99,1,310 days,0
20943,37.269999999999996,1,124 days,0
20944,226.49,1,357 days,0
20945,1953.47,2,109 days,0
20946,58.980000000000004,1,137 days,0
20947,37.269999999999996,1,4 days,0
20948,3.99,1,311 days,0
20949,154.98,1,305 days,0
20950,32.28,1,268 days,0
20951,37.27,1,171 days,0
20952,37.27,1,46 days,0
20953,162.99,1,72 days,0
20954,38.980000000000004,1,136 days,0
20955,1164.47,1,57 days,0
20956,3.99,1,84 days,0
20957,38.980000000000004,1,222 days,0
20958,68.49,1,365 days,0
20959,38.980000000000004,1,88 days,0
20960,6.28,1,256 days,0
20961,3.99,1,37 days,0
20962,6.28,1,292 days,0
20963,42.93,1,329 days,0
