,CustomerID,Monetary,Frequency,Recency
0,11000,8248.99,3,271
1,11001,6383.879999999999,3,50
2,11002,8114.04,3,340
3,11003,8139.29,3,264
4,11004,8196.009999999998,3,273
5,11005,8121.33,3,272
6,11006,8119.03,3,260
7,11007,8211.0,3,316
8,11008,8106.3099999999995,3,333
9,11009,8091.33,3,265
10,11010,8088.039999999999,3,251
11,11011,8133.04,3,316
12,11012,81.26,2,106
13,11013,113.96000000000001,2,8
14,11014,138.45000000000002,2,274
15,11015,2500.97,1,376
16,11016,2332.2799999999997,1,354
17,11017,6434.3099999999995,3,107
18,11018,6533.28,3,97
19,11019,882.7,17,17
20,11020,2316.97,1,396
21,11021,2371.9599999999996,1,371
22,11022,2322.2799999999997,1,374
23,11023,122.24000000000001,2,15
24,11024,56.510000000000005,2,187
25,11025,6576.799999999999,3,96
26,11026,6575.79,3,106
27,11027,6591.57,3,97
28,11028,6474.62,3,114
29,11029,6565.29,3,79
30,11030,6471.32,3,81
31,11031,6478.599999999999,3,77
32,11032,6525.5599999999995,3,82
33,11033,6495.29,3,85
34,11034,6491.32,3,80
35,11035,6451.3099999999995,3,75
36,11036,2354.9799999999996,1,372
37,11037,2374.2299999999996,1,374
38,11038,6437.33,3,78
39,11039,6636.58,3,79
40,11040,2350.9599999999996,1,301
41,11041,2380.47,1,380
42,11042,3112.33,2,104
43,11043,47.980000000000004,2,164
44,11044,6515.299999999999,3,82
45,11045,114.96000000000001,2,92
46,11046,6616.8099999999995,3,78
47,11047,6582.33,3,71
48,11048,6498.24,3,35
49,11049,81.26,2,92
50,11050,5007.3,3,71
51,11051,123.95,2,28
52,11052,8131.32,3,247
53,11053,2329.9799999999996,1,377
54,11054,8223.02,3,244
55,11055,8168.009999999999,3,236
56,11056,8207.5,3,243
57,11057,8088.039999999999,3,253
58,11058,8248.02,3,239
59,11059,116.93,3,319
60,11060,8153.0199999999995,3,218
61,11061,8129.0199999999995,3,229
62,11062,2351.9599999999996,1,387
63,11063,2372.95,1,382
64,11064,2304.9799999999996,1,369
65,11065,202.57,2,19
66,11066,81.26,2,132
67,11067,105.75,2,17
68,11068,113.36,3,113
69,11069,8104.049999999999,3,239
70,11070,8165.549999999999,3,217
71,11071,110.23,3,59
72,11072,8194.0,3,228
73,11073,191.9,3,161
74,11074,94.19,3,247
75,11075,8068.03,3,219
76,11076,8159.039999999999,3,222
77,11077,8169.03,3,231
78,11078,913.27,17,1
79,11079,57.95,3,28
80,11080,8204.019999999999,3,220
81,11081,104.26,2,291
82,11082,3110.81,2,84
83,11083,3137.3199999999997,2,82
84,11084,3078.6099999999997,2,69
85,11085,128.96,2,21
